parameter_value_n_components,score
2,1.3165174722671509
3,1.3195559978485107
4,1.3188221454620361
5,1.3214155435562134
6,1.3194926977157593
7,1.3207601308822632
8,1.3192229270935059
9,1.320505142211914
10,1.318510890007019
11,1.3217707872390747
12,1.3205454349517822
