class,original_samples_distribution,predicted_samples_distribution
0,2796,1791
1,1433,1595
2,2854,1833
3,2166,1679
4,471,1418
5,198,1356
6,4553,1879
7,1712,1632
8,78,1242
9,683,1572
10,592,1457
11,390,1402
12,1985,1671
13,4194,1863
14,81,1280
15,3597,1842
16,246,1357
17,27,1187
