precision,recall,f1-score,support
0.0012698412698412698,0.000715307582260372,0.0009151223976206818,2796.0
0.0,0.0,0.0,1433.0
0.06102719033232629,0.03538892782060266,0.04479929030827235,2854.0
0.22993630573248408,0.16666666666666666,0.19325481798715202,2166.0
0.0,0.0,0.0,471.0
0.009702009702009701,0.0707070707070707,0.017062766605728214,198.0
0.21990858303707467,0.0951021304634307,0.13278135541245017,4553.0
0.19598965071151359,0.17698598130841123,0.18600368324125233,1712.0
0.0013986013986013986,0.02564102564102564,0.0026525198938992045,78.0
0.03024193548387097,0.06588579795021962,0.041455550437586364,683.0
0.0006724949562878278,0.0016891891891891893,0.0009620009620009621,592.0
0.0,0.0,0.0,390.0
0.11437699680511182,0.09017632241813602,0.10084507042253521,1985.0
0.13953488372093023,0.06151645207439199,0.08538805229190799,4194.0
0.0,0.0,0.0,81.0
0.12853907134767836,0.06310814567695301,0.08465411150475478,3597.0
0.02139406487232574,0.12601626016260162,0.03657817109144543,246.0
0.010752688172043012,0.5555555555555556,0.021097046413502112,27.0
0.07028799543769604,0.07028799543769604,0.07028799543769604,0.07028799543769604
0.06470801764122772,0.08528637962313973,0.052691642165005985,28056.0
0.11818440145215525,0.07028799543769604,0.0847173590251258,28056.0
