class,original_samples_distribution,predicted_samples_distribution
0.0,2796,1575
1.0,1433,1488
2.0,2854,1655
3.0,2166,1570
4.0,471,1474
5.0,198,1443
6.0,4553,1969
7.0,1712,1546
8.0,78,1430
9.0,683,1488
10.0,592,1487
11.0,390,1467
12.0,1985,1565
13.0,4194,1849
14.0,81,1440
15.0,3597,1766
16.0,246,1449
17.0,27,1395
