precision,recall,f1-score,support
0.1251441753171857,0.07761087267525035,0.09580573951434879,2796.0
0.0006430868167202572,0.0006978367062107466,0.0006693440428380187,1433.0
0.10403638430926662,0.06412053258584442,0.07934099284630393,2854.0
0.03075103489059728,0.024007386888273315,0.026963961628208452,2166.0
0.0,0.0,0.0,471.0
0.06319702602230483,0.4292929292929293,0.1101749837977965,198.0
0.21380731581658938,0.09114869316933889,0.1278102864182322,4553.0
0.04788213627992634,0.0455607476635514,0.046692607003891044,1712.0
0.0,0.0,0.0,78.0
0.021331609566903685,0.048316251830161056,0.029596412556053813,683.0
0.0006557377049180328,0.0016891891891891893,0.000944733112895607,592.0
0.027888446215139442,0.1076923076923077,0.04430379746835443,390.0
0.098868374032162,0.0836272040302267,0.0906113537117904,1985.0
0.21943048576214405,0.09370529327610873,0.13132832080200502,4194.0
0.0,0.0,0.0,81.0
0.16123595505617977,0.07978871281623576,0.10675097638088153,3597.0
0.017687074829931974,0.10569105691056911,0.030303030303030307,246.0
0.00927643784786642,0.37037037037037035,0.01809954751131222,27.0
0.07089392643284859,0.07089392643284859,0.07089392643284859,0.07089392643284859
0.06343529335932421,0.09018441028314261,0.052188671505441236,28056.0
0.12508018790099418,0.07089392643284859,0.08547123249367569,28056.0
