class,original_samples_distribution,predicted_samples_distribution
0.0,2796,1734
1.0,1433,1555
2.0,2854,1759
3.0,2166,1691
4.0,471,1511
5.0,198,1345
6.0,4553,1941
7.0,1712,1629
8.0,78,1228
9.0,683,1547
10.0,592,1525
11.0,390,1506
12.0,1985,1679
13.0,4194,1791
14.0,81,1287
15.0,3597,1780
16.0,246,1470
17.0,27,1078
