parameter_value_n_clusters,score
12,1.4177517344458002
13,1.4501804323121643
14,1.4348389958554773
15,1.4169008017025169
16,1.414661042823014
17,1.4122777734918786
18,1.4099282440273957
19,1.4230793757092897
20,1.4399755777942866
